,Code,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId,Sector,Industry,ListingDate,SettleMonth,Representative,HomePage,Region
2400,068100,케이웨더,KOSDAQ,기술성장기업부,2815,2,-130,-4.41,2945,3005,2750,66348,188618775,27980013410,9939614,KSQ,일반 목적용 기계 제조업,"공기개선솔루션, 기상데이터, 공기측정솔루션 등",2024-02-22,12월,김동식,http://www.kweather.co.kr,서울특별시
2401,091340,S&K폴리텍,KOSDAQ,중견기업부,2390,2,-30,-1.24,2395,2455,2300,35911,85067570,27971893190,11703721,KSQ,전자부품 제조업,고밀도폴리우레탄폼시트,2007-07-30,12월,강원형,http://www.snkpolytec.com,경기도
2402,233250,메디안디노스틱,KONEX,일반기업부,16000,0,0,0.0,0,0,0,0,0,27944544000,1746534,KNX,의료용품 및 기타 의약 관련제품 제조업,동물질병 체외진단키트 및 진단용 시약,2017-06-26,12월,오진식,http://www.mediandiagnostics.com,강원특별자치도
2403,015260,에이엔피,KOSPI,,619,2,-22,-3.43,677,677,619,32130,20281072,27927357386,45116894,STK,전자부품 제조업,"전자부품(인쇄회로기판),무정전 전원공급장치 제조",1988-01-18,12월,전운관,http://anpcb.co.kr,인천광역시
2404,043710,서울리거,KOSDAQ,중견기업부,556,2,-9,-1.59,564,565,532,39811,21792277,27910577280,50198880,KSQ,기타 전문 도매업,의약품 도매 및 화장품 도소매,2002-07-11,12월,이재규,http://www.seouleaguer.net,서울특별시
2405,032280,삼일,KOSDAQ,중견기업부,1719,1,91,5.59,1611,1745,1593,140411,235960364,27871161210,16213590,KSQ,도로 화물 운송업,운송 및 하역수입,1997-03-15,12월,"강승엽,안인수(각자대표)",http://www.samil31.co.kr,경상북도
2406,361670,삼영에스앤씨,KOSDAQ,기술성장기업부,4895,2,-125,-2.49,4900,5100,4710,9896,47935965,27743185910,5667658,KSQ,전자부품 제조업,"칩형 온습도센서,상대습도센서,미세먼지센서, 공기질 통합센서 노드 및 트랜스미터",2021-05-21,12월,박상익,http://samyoungsnc.com,경기도
2407,267080,세븐브로이맥주,KONEX,일반기업부,2335,2,-95,-3.91,2430,2430,2215,3506,7848385,27719737680,11871408,KNX,알코올음료 제조업,맥주 등 주류 및 음료,2024-01-17,12월,김강삼,http://sevenbrau.com,전북특별자치도
2408,078590,휴림에이텍,KOSDAQ,중견기업부,511,2,-23,-4.31,535,538,507,268481,139039861,27701483229,54210339,KSQ,자동차 신품 부품 제조업,자동차내장카페트,2005-10-27,12월,설정호,http://www.hyulimatech.co.kr,경상남도
2409,354390,바스칸바이오제약,KONEX,일반기업부,3920,2,-675,-14.69,4315,4315,3910,3671,14481090,27511528240,7018247,KNX,의약품 제조업,"일반의약품, 전문의약품, 의료기기",2022-07-20,12월,이법표,http://www.baskhanbio.com,경기도
2410,086060,진바이오텍,KOSDAQ,중견기업부,3190,1,40,1.27,3155,3320,3055,141595,445115015,27467772530,8610587,KSQ,산업용 농·축산물 및 동·식물 도매업,"펩소이젠(식물성단백질),바이오스타치(가공전분),나투포멘(친환경생균제),락토케어(항생제대체형미생물제제)등",2006-04-28,12월,이찬호,http://www.genebiotech.co.kr,충청남도
