Symbol,Category,CategoryName,Name,Price,RiseFall,Change,ChangeRate,NAV,EarningRate,Volume,Amount,MarCap,Brand,인버스,레버리지,헤지
266160,2,국내 업종/테마,RISE 고배당,13215,5,-65,-0.49,13234.0,-1.117,242,3,588,RISE,False,False,False
315960,2,국내 업종/테마,RISE 대형고배당10TR,18050,5,-40,-0.22,18039.0,-3.4943,39,0,587,RISE,False,False,False
204450,4,해외주식,KODEX 차이나H레버리지(H),2085,5,-60,-2.8,2118.0,42.8095,32123,66,580,KODEX,False,True,True
483330,4,해외주식,ACE 마이크로소프트밸류체인액티브,12665,5,-135,-1.05,12634.0,29.9492,3257,41,576,ACE,False,False,False
203780,4,해외주식,TIGER 미국나스닥바이오,23710,5,-245,-1.02,23606.0,1.2896,4426,104,574,TIGER,False,False,False
473460,4,해외주식,KODEX 미국서학개미,18745,5,-110,-0.58,18648.0,46.2194,140713,2636,572,KODEX,False,False,False
233160,3,국내파생,TIGER 코스닥150 레버리지,7830,5,-5,-0.06,7830.0,-13.9011,70424,547,572,TIGER,False,True,False
319640,4,해외주식,TIGER 골드선물(H),17405,5,-295,-1.67,17416.0,7.2727,2817,49,566,TIGER,False,False,True
453330,4,해외주식,RISE 미국S&P500(H),14845,5,-55,-0.37,14823.0,9.1015,4645,69,564,RISE,False,False,True
423170,4,해외주식,SOL 한국형글로벌반도체액티브,18460,2,240,1.32,18153.0,7.1134,729,13,557,SOL,False,False,False
329660,7,기타,KODEX TRF5050,16215,5,-10,-0.06,16185.0,8.4558,1992,32,551,KODEX,False,False,False
489030,2,국내 업종/테마,PLUS 고배당주위클리커버드콜,10020,5,-70,-0.69,9944.0,2.3845,37454,375,551,PLUS,False,False,False
442320,4,해외주식,RISE 글로벌원자력,20035,5,-145,-0.72,20226.0,33.9528,5298,106,551,RISE,False,False,False
455960,6,채권,RISE 미국달러SOFR금리액티브(합성),11695,2,5,0.04,11729.0,8.1906,20,0,544,RISE,False,False,False
487910,4,해외주식,ACE 인도컨슈머파워액티브,10685,5,-25,-0.23,10686.0,4.8458,1020,10,540,ACE,False,False,False
440640,6,채권,ACE 단기채권알파액티브,108770,2,10,0.01,108769.0,0.839,40,4,536,ACE,False,False,False
456680,4,해외주식,TIGER 차이나전기차레버리지(합성),6355,2,30,0.47,6455.0,81.4921,728,4,534,TIGER,False,True,False
494310,2,국내 업종/테마,KODEX 반도체레버리지,7470,2,20,0.27,7526.0,,38249,286,527,KODEX,False,True,False
454320,2,국내 업종/테마,HANARO CAPEX설비투자iSelect,13530,5,-60,-0.44,13610.0,1.6835,162,2,521,HANARO,False,False,False
461600,6,채권,SOL 미국30년국채액티브(H),9205,5,-60,-0.65,9199.0,-8.3128,561,5,520,SOL,False,False,True
483340,4,해외주식,ACE 구글밸류체인액티브,11270,5,-35,-0.31,11214.0,27.1653,58632,659,518,ACE,False,False,False
464920,4,해외주식,PLUS 일본반도체소부장,13115,5,-110,-0.83,13095.0,6.6532,56,0,518,PLUS,False,False,False
272910,6,채권,ACE 중장기국공채액티브,106825,5,-35,-0.03,106795.0,1.5876,1,0,500,ACE,False,False,False
469150,2,국내 업종/테마,ACE AI반도체포커스,12190,5,-10,-0.08,12193.0,-10.6555,937,11,500,ACE,False,False,False
484890,6,채권,SOL 머니마켓액티브,50880,2,10,0.02,50878.0,0.8325,5000,254,500,SOL,False,False,False
395170,2,국내 업종/테마,KODEX Top10동일가중,7335,5,-10,-0.14,7335.0,-4.4864,5,0,499,KODEX,False,False,False
152380,6,채권,KODEX 국채선물10년,70265,5,-100,-0.14,70302.0,1.9782,179,12,493,KODEX,False,False,False
329670,7,기타,KODEX TRF7030,18875,3,0,0.0,18866.0,10.5417,306,5,491,KODEX,False,False,False
447620,7,기타,SOL 미국TOP5채권혼합40 Solactive,13630,5,-45,-0.33,13622.0,10.1046,816,11,491,SOL,False,False,False
245360,4,해외주식,TIGER 차이나HSCEI,11540,5,-90,-0.77,11579.0,30.7476,116,1,490,TIGER,False,False,False
322400,2,국내 업종/테마,HANARO e커머스,9860,2,220,2.28,9898.0,4.6688,26,0,488,HANARO,False,False,False
407830,4,해외주식,에셋플러스 글로벌플랫폼액티브,13465,5,-65,-0.48,13474.0,47.3856,308,4,485,에셋플러스,False,False,False
280930,4,해외주식,KODEX 미국러셀2000(H),14230,5,-225,-1.56,14255.0,13.1064,1897,26,484,KODEX,False,False,True
477730,4,해외주식,KODEX 인도타타그룹,10785,5,-25,-0.23,10857.0,-0.4605,55,0,480,KODEX,False,False,False
491220,1,국내 시장지수,PLUS 200TR,38025,5,-120,-0.31,38143.0,-3.308,3,0,475,PLUS,False,False,False
