Code,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId,Sector,Industry,ListingDate,SettleMonth,Representative,HomePage,Region
101530,해태제과식품,KOSPI,,5730,1,320,5.91,5500,5800,5500,37382,212809130,166839390060,29116822,STK,기타 식품 제조업,"홈런볼, 오예스, 맛동산, 부라보콘 등",2016-05-11,12월,"신정훈, 이상진(각자대표)",http://www.ht.co.kr,충청남도
017890,한국알콜,KOSDAQ,우량기업부,7720,1,190,2.52,7470,7780,7460,93231,715601010,166796467200,21605760,KSQ,기타 화학제품 제조업,주정,1992-08-04,12월,"지용석, 김정수, 유정림(각자대표)",http://www.ka.co.kr,경기도
002020,코오롱,KOSPI,,13210,1,640,5.09,12630,13220,12630,39463,516022490,166795087460,12626426,STK,기타 금융업,지주회사,1975-06-23,12월,"안병덕, 이규호",http://www.kolon.com,경기도
064820,케이프,KOSDAQ,우량기업부,5380,1,270,5.28,5240,5470,5140,90162,484855570,166251296640,30901728,KSQ,선박 및 보트 건조업,선박엔진용실린더라이너,2007-05-29,12월,최철은,http://www.cape.co.kr,경상남도
000050,경방,KOSPI,,6060,1,60,1.0,6000,6210,5970,13108,79528250,166136536200,27415270,STK,종합 소매업,"섬유류(면사,면혼방사,면직물,면혼방직물,화섬사,화섬직물) 제조,도매,수출입",1956-03-03,12월,"김준, 김담",http://www.kyungbang.co.kr,서울특별시
004560,현대비앤지스틸,KOSPI,,11000,1,890,8.8,10200,11080,10200,68486,737291660,165866921000,15078811,STK,1차 철강 제조업,"스텐레스냉연강판,특수강 제조",1987-03-24,12월,"대표이사 사장 정일선,대표이사 부사장 이선우(각자 대표이사)",http://www.hyundai-bngsteel.com,경상남도
234690,녹십자웰빙,KOSDAQ,우량기업부,9320,1,820,9.65,8400,9490,8400,115685,1061289220,165451212320,17752276,KSQ,의약품 제조업,"전문의약품, 건강기능식품",2019-10-14,12월,김상현,http://www.greencrosswb.com,서울특별시
371950,풍원정밀,KOSDAQ,기술성장기업부,7860,1,570,7.82,7900,7900,7510,20642,158811590,165378235680,21040488,KSQ,전자부품 제조업,OLED 증착용 Metal Mask,2022-02-28,12월,유명훈,http://poongwon.com,경기도
003200,일신방직,KOSPI,,7100,1,100,1.43,7180,7180,7020,11596,81914380,165288000000,23280000,STK,방적 및 가공사 제조업,"면사,P/C혼방사,P/C혼방직물,화섬사 제조,수출",1973-05-23,12월,김정수,http://www.ilshin.co.kr,서울특별시
307750,국전약품,KOSDAQ,우량기업부,3365,1,235,7.51,3115,3395,3115,132526,437077330,165118090185,49069269,KSQ,의약품 제조업,기업 인수 및 합병,2018-12-19,12월,홍종호,,경기도
003070,코오롱글로벌,KOSPI,,8690,1,730,9.17,8000,8770,8000,84428,719644870,164525275970,18932713,STK,토목 건설업,"토목공사,일반건설,주택건설,해외건설,소각로설비공사/환경플랜트,폐처리기 제조",1978-09-15,12월,김정일,http://www.kolonglobal.com,경기도
293780,압타바이오,KOSDAQ,기술성장기업부,6120,1,170,2.86,5750,6140,5750,56651,342977400,164513923200,26881360,KSQ,자연과학 및 공학 연구개발업,"용역매출, 유전자전달체, 압타머연구용시약",2019-06-12,12월,이수진,http://www.aptabio.com,경기도
089600,나스미디어,KOSDAQ,우량기업부,14210,1,460,3.35,13750,14350,13750,11172,157702680,164383596230,11568163,KSQ,광고업,광고매체 판매,2013-07-17,12월,박평권,http://www.nasmedia.co.kr,서울특별시
138610,나이벡,KOSDAQ,기술성장기업부,15050,1,1270,9.22,13780,15380,13780,274916,4079194690,163941410850,10893117,KSQ,의료용품 및 기타 의약 관련제품 제조업,"치아미백제,치과용 골이식재",2011-07-13,12월,정종평,,충청북도
459100,위츠,KOSDAQ,중견기업부,13200,2,-30,-0.23,13100,13780,12940,3460120,46307279080,163891200000,12416000,KSQ,전자부품 제조업,"무선충전소재, 부품 제조",2024-11-20,12월,김응태,http://www.ewits.co.kr/kr/,경기도
004090,한국석유,KOSPI,,12910,1,650,5.3,12200,12930,12200,126554,1611055080,163881089200,12694120,STK,기타 비금속 광물제품 제조업,"석유류제품(솔벤트,부로운아스팔트,방수시트몰터프라스,메타놀,빙초산) 제조,도소매/부동산 임대",1977-06-25,12월,"강승모,김득보(각자 대표이사)",http://www.koreapetroleum.com,서울특별시
058430,포스코스틸리온,KOSPI,,27300,1,1650,6.43,25800,27500,25700,24897,670960200,163800000000,6000000,STK,1차 철강 제조업,"용융아연도금강판,용융알루미늄도금강판,칼라도장강판,냉연강판 가공,제조,도매",2002-08-16,12월,대표이사 사장 김봉철,http://www.poscocnc.com,경상북도
036420,콘텐트리중앙,KOSPI,,8500,1,580,7.32,7920,8650,7920,37557,312790810,163729618000,19262308,STK,"영화, 비디오물, 방송프로그램 제작 및 배급업","영화 및 방송프로그램 제작, 유통, 광고",2019-10-18,12월,"남중권, 홍정인(각자대표)",http://www.jcontentree.com/,서울특별시
011000,진원생명과학,KOSPI,,2045,1,107,5.52,1927,2045,1927,153917,310280262,163679826575,80039035,STK,의약품 제조업,플라스미드,1987-11-16,12월,박영근,http://www.genels.com,서울특별시
160600,이큐셀,KOSDAQ,관리종목(소속부없음),3100,0,0,0.0,0,0,0,0,0,163573177100,52765541,KSQ,특수 목적용 기계 제조업,"진공합착기, NPS",2015-06-26,12월,김봉관,http://www.sntek.com,경기도
063570,한국전자금융,KOSDAQ,우량기업부,4775,1,225,4.95,4525,4775,4525,46248,216482780,163055401200,34147728,KSQ,기타 사업지원 서비스업,"ATM관리사업,CD-VAN사업",2006-07-14,12월,이현석,http://www.nicetcm.co.kr,서울특별시
